name,dtype,shape,rank,numel,byte_count,data_begin,data_end,absolute_begin,absolute_end,layer,block_type,expert,projection,group,expected_bytes_match,sha256,xxh3_128
backbone.layers.0.mixer.A_log,F32,64,1,64,256,0,256,55440,55696,0,mamba,,A_log,mamba_A_log,True,53e539c897788039ef34940f5df2e3204a00dde66f19f9d0434d9aacfcfd7106,220ffd858969a124f138158490e84f90
backbone.layers.0.mixer.D,F32,64,1,64,256,256,512,55696,55952,0,mamba,,D,mamba_D,True,960deeca46132b20fac764c4f4e371e8396dc2036455c77604fa8a1a3e22f832,a324bc588173311bc61a55cbd1a692d9
backbone.layers.1.mixer.gate.e_score_correction_bias,F32,128,1,128,512,512,1024,55952,56464,1,moe,,gate,moe_gate,True,9b96840c7061386f2d5f31d044bc4ad8f95af0f2cc6fd78fe819e41fe852ddaa,b8530bd93d6ae1699eb125a60f16b4ca
backbone.layers.2.mixer.A_log,F32,64,1,64,256,1024,1280,56464,56720,2,mamba,,A_log,mamba_A_log,True,918f1fea66cec64e54586c11c43075bf9b657ab65dbf47f71bdf5661cf728819,8314e6e6ed5dd9f8289586945aba5b89
backbone.layers.2.mixer.D,F32,64,1,64,256,1280,1536,56720,56976,2,mamba,,D,mamba_D,True,5598e493ca2180610da0b4155b49a336acf7fad4b052922d00f192767c35decc,ff726a80224c566ce62c14537ef4f324
backbone.embeddings.weight,BF16,131072x2688,2,352321536,704643072,1536,704644608,56976,704700048,,,,embedding,embedding,True,2e57f847aba4cd42c31f70913f784b0d83a64849ca7f52e1441482ca58328281,74bf5cba12072727000b00883981050d
backbone.layers.0.mixer.conv1d.bias,BF16,6144,1,6144,12288,704644608,704656896,704700048,704712336,0,mamba,,conv1d,mamba_conv1d,True,eec0cc6ef919bc4892fe5ac254d71e0255176ba02e691d7622847643fdd378e6,9acde89d686cd33c38367d635e2b6487
backbone.layers.0.mixer.conv1d.weight,BF16,6144x1x4,3,24576,49152,704656896,704706048,704712336,704761488,0,mamba,,conv1d,mamba_conv1d,True,6c95de8da5824fb30502ad4dd2c5c4034156d9583c9e5e8ed1fac3baa3adc8a2,a5e3df2f78ab43685aa84aee1e37d821
backbone.layers.0.mixer.dt_bias,BF16,64,1,64,128,704706048,704706176,704761488,704761616,0,mamba,,dt_bias,mamba_dt_bias,True,d16236fe8e3ca45df39b09c318a3df93f19058006cc25bcb48a53b6fe295afa7,82f0ec78bf231d9f41445977e688ca54
backbone.layers.0.mixer.in_proj.weight,BF16,10304x2688,2,27697152,55394304,704706176,760100480,704761616,760155920,0,mamba,,in_proj,mamba_in_proj,True,985145526a11446d550f3a4fd3a18d302a58df5aa39a7619cb7a39bd3ad6732c,7cb1560e0e375808552eb44281f6daf0
backbone.layers.0.mixer.norm.weight,BF16,4096,1,4096,8192,760100480,760108672,760155920,760164112,0,mamba,,norm,mamba_norm,True,77170c7861e68f59012d064ae5087d4ea1a2d0e1fa9f4d0fa9709242332b5eaf,7d5a9f2d62dd7fbdffb3d40398550c51
backbone.layers.0.mixer.out_proj.weight,BF16,2688x4096,2,11010048,22020096,760108672,782128768,760164112,782184208,0,mamba,,out_proj,mamba_out_proj,True,2d8d1fea0dc327bf9e7b7799c12b9b3aab405ec9a461ed2c3df5637cc2571d15,6ba52fa753b665845d46001d08bceed6
backbone.layers.0.norm.weight,BF16,2688,1,2688,5376,782128768,782134144,782184208,782189584,0,mamba,,norm,mamba_norm,True,c1e421a2f67896d1cabca99cf05fbf203aab0f001fc243e81bab49618017afa0,1f1699827432a02f11fefee67efb2dd6
backbone.layers.1.mixer.experts.0.down_proj.weight,BF16,2688x1856,2,4988928,9977856,782134144,792112000,782189584,792167440,1,moe,0,down_proj,moe_routed_expert_down_proj,True,d15a5442f5827371e7f90686078d5875fd01b2f4526dfc0aac539de24422c829,6678d5a724f6f03ea890be626f0779ae
backbone.layers.1.mixer.experts.0.up_proj.weight,BF16,1856x2688,2,4988928,9977856,792112000,802089856,792167440,802145296,1,moe,0,up_proj,moe_routed_expert_up_proj,True,292a8b093ddda8dc16d68197dcb0579cea9f5c96fffaf3c6f28a7d2ab7f95730,15a736f0f891c4bdbe9b149476a2b5f1
backbone.layers.1.mixer.experts.1.down_proj.weight,BF16,2688x1856,2,4988928,9977856,802089856,812067712,802145296,812123152,1,moe,1,down_proj,moe_routed_expert_down_proj,True,f35c7a755e74950336aa222ed676033007ae3c8a828526cfdffb9ca3f0b44ab7,82a07393fd0f5880eaf21059eda9aa9a
backbone.layers.1.mixer.experts.1.up_proj.weight,BF16,1856x2688,2,4988928,9977856,812067712,822045568,812123152,822101008,1,moe,1,up_proj,moe_routed_expert_up_proj,True,71a721c8250e8ee11d514d4882963675e02c91494cfb8ad47e2c0434f838d768,7cbded762e066de59e4b74d8486d2f4c
