flat_index,float32_value,bf16_hex,stored_low_byte,stored_high_byte
0,-0.04296875,0xbd30,48,189
1,0.0152587890625,0x3c7a,122,60
2,0.007476806640625,0x3bf5,245,59
3,-0.02294921875,0xbcbc,188,188
4,-0.0257568359375,0xbcd3,211,188
5,0.0031585693359375,0x3b4f,79,59
6,-0.00811767578125,0xbc05,5,188
7,0.0289306640625,0x3ced,237,60
8,0.001800537109375,0x3aec,236,58
9,0.00958251953125,0x3c1d,29,60
10,0.0279541015625,0x3ce5,229,60
11,0.000518798828125,0x3a08,8,58
12,-0.0003261566162109375,0xb9ab,171,185
13,0.00421142578125,0x3b8a,138,59
14,-0.002227783203125,0xbb12,18,187
15,-0.0194091796875,0xbc9f,159,188
16,0.002655029296875,0x3b2e,46,59
17,0.0164794921875,0x3c87,135,60
18,-0.010009765625,0xbc24,36,188
19,-0.0004119873046875,0xb9d8,216,185
20,0.0147705078125,0x3c72,114,60
21,-0.003387451171875,0xbb5e,94,187
22,0.01019287109375,0x3c27,39,60
23,0.02099609375,0x3cac,172,60
24,0.0274658203125,0x3ce1,225,60
25,0.0035247802734375,0x3b67,103,59
26,-0.006591796875,0xbbd8,216,187
27,0.005859375,0x3bc0,192,59
28,0.03369140625,0x3d0a,10,61
29,-0.001983642578125,0xbb02,2,187
30,-0.0021514892578125,0xbb0d,13,187
31,-0.0020294189453125,0xbb05,5,187
32,-0.036865234375,0xbd17,23,189
33,0.00092315673828125,0x3a72,114,58
34,-0.01214599609375,0xbc47,71,188
35,-0.013671875,0xbc60,96,188
36,-0.0291748046875,0xbcef,239,188
37,0.00677490234375,0x3bde,222,59
38,0.01611328125,0x3c84,132,60
39,-0.0181884765625,0xbc95,149,188
40,0.001495361328125,0x3ac4,196,58
41,0.004486083984375,0x3b93,147,59
42,0.01080322265625,0x3c31,49,60
43,0.00022602081298828125,0x396d,109,57
44,-0.01513671875,0xbc78,120,188
45,0.00555419921875,0x3bb6,182,59
46,0.00860595703125,0x3c0d,13,60
47,-0.00445556640625,0xbb92,146,187
48,0.00089263916015625,0x3a6a,106,58
49,-0.00177001953125,0xbae8,232,186
50,0.0101318359375,0x3c26,38,60
51,-0.004119873046875,0xbb87,135,187
52,0.000244140625,0x3980,128,57
53,0.0167236328125,0x3c89,137,60
54,-0.025634765625,0xbcd2,210,188
55,0.00193023681640625,0x3afd,253,58
56,0.011474609375,0x3c3c,60,60
57,-0.0306396484375,0xbcfb,251,188
58,-0.0078125,0xbc00,0,188
59,-0.013916015625,0xbc64,100,188
60,0.0164794921875,0x3c87,135,60
61,0.012939453125,0x3c54,84,60
62,0.01422119140625,0x3c69,105,60
63,0.0299072265625,0x3cf5,245,60
64,0.005218505859375,0x3bab,171,59
65,-0.01495361328125,0xbc75,117,188
66,0.0234375,0x3cc0,192,60
67,0.0390625,0x3d20,32,61
68,0.0130615234375,0x3c56,86,60
69,0.0213623046875,0x3caf,175,60
70,-0.0244140625,0xbcc8,200,188
71,0.016357421875,0x3c86,134,60
72,0.0107421875,0x3c30,48,60
73,-0.000484466552734375,0xb9fe,254,185
74,0.025146484375,0x3cce,206,60
75,-0.000606536865234375,0xba1f,31,186
76,0.00836181640625,0x3c09,9,60
77,0.00244140625,0x3b20,32,59
78,-0.0003108978271484375,0xb9a3,163,185
79,0.01165771484375,0x3c3f,63,60
80,0.007537841796875,0x3bf7,247,59
81,0.00848388671875,0x3c0b,11,60
82,-0.0301513671875,0xbcf7,247,188
83,0.02099609375,0x3cac,172,60
84,-0.03515625,0xbd10,16,189
85,-0.0185546875,0xbc98,152,188
86,-0.00897216796875,0xbc13,19,188
87,-0.005126953125,0xbba8,168,187
88,0.004486083984375,0x3b93,147,59
89,0.0004215240478515625,0x39dd,221,57
90,0.00145721435546875,0x3abf,191,58
91,-0.01397705078125,0xbc65,101,188
92,0.020751953125,0x3caa,170,60
93,0.00079345703125,0x3a50,80,58
94,0.00836181640625,0x3c09,9,60
95,0.0133056640625,0x3c5a,90,60
96,-0.01019287109375,0xbc27,39,188
97,-0.00019359588623046875,0xb94b,75,185
98,0.012451171875,0x3c4c,76,60
99,-0.0020294189453125,0xbb05,5,187
100,0.00323486328125,0x3b54,84,59
101,-0.0181884765625,0xbc95,149,188
102,0.00909423828125,0x3c15,21,60
103,0.01544189453125,0x3c7d,125,60
104,-0.01153564453125,0xbc3d,61,188
105,0.0076904296875,0x3bfc,252,59
106,-0.002960205078125,0xbb42,66,187
107,0.002899169921875,0x3b3e,62,59
108,-0.00238037109375,0xbb1c,28,187
109,0.0308837890625,0x3cfd,253,60
110,0.007293701171875,0x3bef,239,59
111,0.004974365234375,0x3ba3,163,59
112,-0.0002498626708984375,0xb983,131,185
113,-0.01556396484375,0xbc7f,127,188
114,0.0003414154052734375,0x39b3,179,57
115,-0.025390625,0xbcd0,208,188
116,0.0120849609375,0x3c46,70,60
117,-0.000759124755859375,0xba47,71,186
118,-0.000850677490234375,0xba5f,95,186
119,-0.000560760498046875,0xba13,19,186
120,-0.034423828125,0xbd0d,13,189
121,0.0130615234375,0x3c56,86,60
122,-0.00994873046875,0xbc23,35,188
