index,value
0,1.203125
1,-1.25
2,-3.484375
3,-3.65625
4,-3.234375
5,-1.328125
6,-2.03125
7,-3.5625
8,0.341796875
9,0.1162109375
10,0.765625
11,-2.71875
12,-0.10546875
13,0.294921875
14,-2.734375
15,1.140625
16,6.875
17,3.21875
18,2.921875
19,-1.296875
20,5.40625
21,-0.96875
22,2.578125
23,5.5
24,-5.3125
25,-3.21875
26,-2.5625
27,-3.453125
28,-1.0390625
29,-2.515625
30,-2.8125
31,-2.8125
32,-2.703125
33,-2.265625
34,-2.46875
35,-2.125
36,-2.171875
37,-6.21875
38,-2.109375
39,-2.515625
40,0.296875
41,-3.5
42,-1.5078125
43,-0.828125
44,-1.65625
45,-6.4375
46,0.36328125
47,-0.77734375
48,-7.5
49,-7.1875
50,-0.984375
51,0.39453125
52,-0.69140625
53,7.46875
54,-0.2890625
55,2.328125
56,-3.3125
57,-3.421875
58,-2.515625
59,-2.09375
60,-3.671875
61,-2.46875
62,-0.65234375
63,-3.0
