index,value
0,0.890625
1,0.89453125
2,0.875
3,0.84375
4,0.85546875
5,0.8125
6,0.8671875
7,0.953125
8,0.8828125
9,0.82421875
10,0.82421875
11,0.89453125
12,0.96875
13,0.84375
14,0.90234375
15,0.85546875
16,0.91015625
17,0.8671875
18,0.82421875
19,1.1875
20,0.90625
21,0.83203125
22,0.8515625
23,0.9375
24,0.83984375
25,0.83203125
26,0.859375
27,0.8671875
28,0.89453125
29,0.83984375
30,0.8359375
31,1.0625
32,0.91015625
33,0.875
34,0.92578125
35,0.8359375
36,0.84375
37,0.921875
38,0.8984375
39,0.87890625
40,0.921875
41,0.90234375
42,1.09375
43,1.046875
44,0.84765625
45,0.91796875
46,0.86328125
47,0.9375
48,0.9765625
49,0.95703125
50,1.25
51,0.91015625
52,0.90234375
53,0.84375
54,0.89453125
55,0.91796875
56,0.8359375
57,0.8359375
58,0.84765625
59,0.87109375
60,0.83984375
61,0.91015625
62,0.828125
63,0.87109375
64,0.84375
65,0.828125
66,0.875
67,0.86328125
68,0.8359375
69,0.95703125
70,0.8125
71,0.90234375
72,0.82421875
73,0.921875
74,0.875
75,0.84375
76,0.98828125
77,0.8984375
78,1.0234375
79,0.85546875
80,0.85546875
81,0.84765625
82,0.8359375
83,0.8671875
84,0.87109375
85,0.84765625
86,0.87890625
87,0.8671875
88,0.890625
89,0.95703125
90,1.125
91,0.8359375
92,0.859375
93,0.83984375
94,0.8671875
95,0.8828125
96,0.86328125
97,0.83203125
98,0.91796875
99,0.91796875
100,0.83984375
101,0.8515625
102,0.94140625
103,0.890625
104,0.79296875
105,0.8515625
106,0.84765625
107,0.86328125
108,0.97265625
109,0.87890625
110,0.89453125
111,0.859375
112,1.0703125
113,0.92578125
114,0.9140625
115,0.84375
116,0.8984375
117,0.8671875
118,0.859375
119,0.8359375
120,1.3359375
121,0.84765625
122,0.8125
123,0.87109375
124,0.8515625
125,0.890625
126,0.8671875
127,0.8671875
128,0.890625
129,0.82421875
130,0.86328125
131,0.890625
132,0.84765625
133,0.91796875
134,0.83984375
135,0.9296875
136,0.86328125
137,0.875
138,0.93359375
139,1.015625
140,0.88671875
141,0.921875
142,0.8671875
143,0.98046875
144,0.859375
145,1.015625
146,0.84375
147,0.875
148,1.0
149,1.265625
150,0.9140625
151,0.84765625
152,0.81640625
153,0.8203125
154,0.9140625
155,0.84765625
156,0.84765625
157,0.84765625
158,1.0625
159,1.171875
160,0.97265625
161,0.8984375
162,0.83984375
163,0.84375
164,0.90234375
165,0.8515625
166,0.9765625
167,0.83984375
168,0.84375
169,0.84765625
170,0.84375
171,0.8125
172,0.87109375
173,0.87890625
174,0.8984375
175,0.8984375
176,0.8671875
177,0.85546875
178,0.9921875
179,0.82421875
180,0.83203125
181,0.87109375
182,0.8671875
183,0.8515625
184,0.88671875
185,0.8359375
186,1.21875
187,0.96484375
188,0.84765625
189,0.84765625
190,0.9296875
191,0.87890625
192,0.98828125
193,0.921875
194,0.87890625
195,0.828125
196,0.8125
197,1.0234375
198,0.86328125
199,0.88671875
200,0.87109375
201,0.90234375
202,0.86328125
203,0.84375
204,0.85546875
205,0.91796875
206,0.90234375
207,0.97265625
208,0.85546875
209,0.84765625
210,0.8828125
211,0.84375
212,0.890625
213,0.91015625
214,0.84375
215,0.890625
216,0.84375
217,0.8515625
218,0.8671875
219,0.91015625
220,1.2890625
221,0.80078125
222,0.86328125
223,0.8671875
224,0.859375
225,0.83984375
226,0.86328125
227,0.890625
228,0.90625
229,0.99609375
230,0.859375
231,0.84375
232,0.87109375
233,0.88671875
234,0.94140625
235,0.8515625
236,0.859375
237,0.8515625
238,0.8828125
239,0.8359375
240,0.8515625
241,0.84765625
242,0.84375
243,0.859375
244,0.85546875
245,0.921875
246,0.85546875
247,0.828125
248,0.83984375
249,0.85546875
250,0.8359375
251,0.96484375
252,0.84375
253,0.953125
254,0.92578125
255,0.87109375
256,0.91796875
257,0.8671875
258,0.87890625
259,0.83203125
260,0.875
261,0.84375
262,0.86328125
263,0.83203125
264,0.85546875
265,0.8828125
266,0.88671875
267,0.84375
268,0.8828125
269,0.86328125
270,1.0546875
271,1.125
272,0.83203125
273,0.859375
274,0.9609375
275,0.9140625
276,0.84765625
277,0.9296875
278,0.87109375
279,0.890625
280,0.9140625
281,0.86328125
282,0.84375
283,0.828125
284,0.85546875
285,0.83984375
286,0.90625
287,0.98046875
288,0.8984375
289,0.8984375
290,0.85546875
291,0.8515625
292,0.8203125
293,0.85546875
294,0.8671875
295,0.90234375
296,0.83984375
297,0.83984375
298,0.84765625
299,0.8828125
300,1.2578125
301,0.9140625
302,0.81640625
303,0.84765625
304,0.87890625
305,0.828125
306,0.9140625
307,0.8984375
308,0.94140625
