name,dtype,shape,rank,numel,byte_count,absolute_begin,absolute_end,expected_bytes_match,sha256
backbone.layers.0.mixer.A_log,F32,96,1,96,384,3256,3640,True,9bffced4190e90d22039fa1ec581d613c0f3113e3b3317423605fa32a134db64
backbone.layers.0.mixer.D,F32,96,1,96,384,3640,4024,True,2f16798f84f202aa6b3c753986ae92ec12d60ea7253a960f0b8e9b251a845d11
backbone.layers.0.mixer.dt_bias,F32,96,1,96,384,4024,4408,True,e67e16dfb2105696cfcd02326bf2b99c0b661c4f08209c7a49a7c634810c9747
backbone.layers.1.mixer.gate.e_score_correction_bias,F32,8,1,8,32,4408,4440,True,7f31c2a707caac921bc5785e7f11e1fd8dbcc6a800a9c03af9e09804c4189407
backbone.embeddings.weight,BF16,256x64,2,16384,32768,4440,37208,True,aff9629f9caff274d08f6be74dfc9abbfead0ce21d2c401b326b1928684616fd
backbone.layers.0.mixer.conv1d.weight,BF16,96x1x4,3,384,768,37208,37976,True,f81f6e6f1276bed66ad838ae4eac91276080376de5d61f5698db575e33cea874
backbone.layers.0.mixer.in_proj.weight,BF16,96x64,2,6144,12288,37976,50264,True,fcbda3ac4139633cf29b6589ec844aaa2649d6895269b6e177a674393a88db82
backbone.layers.0.mixer.out_proj.weight,BF16,64x96,2,6144,12288,50264,62552,True,b0aca6da369e58acc30885bdef791f1efecb2c3ec38d9d56695758cb22396bda
backbone.layers.0.mixer.ssm_state.weight,BF16,96x16,2,1536,3072,62552,65624,True,76440b314548c10087251d733ee240c1c13be1eacc9000ab4bd1ff7ee95d597a
backbone.layers.0.norm.weight,BF16,64,1,64,128,65624,65752,True,b3579b6d8226630a04a9553f8678d90c58036f85adf623fd70f6a4320d1a94c3
backbone.layers.1.mixer.experts.0.down_proj.weight,BF16,64x48,2,3072,6144,65752,71896,True,d859bf6d827b13ab2e9218d3156ac9b13562957c61cfa27728585fc0e5a4cc1d
backbone.layers.1.mixer.experts.0.up_proj.weight,BF16,48x64,2,3072,6144,71896,78040,True,ef7857e494b7abbc843c790b790b213ce8ad542eff115cdf8194c614302dac1a
backbone.layers.1.mixer.experts.1.down_proj.weight,BF16,64x48,2,3072,6144,78040,84184,True,076a7f55b7d21d784f3e55453306306f433facede39017534dc14619867bf85c
backbone.layers.1.mixer.experts.1.up_proj.weight,BF16,48x64,2,3072,6144,84184,90328,True,629f2f5c2e6115dd0abc8d7feae3ee60db31f8e36f69095e8bd3e4750252b090
backbone.layers.1.mixer.experts.2.down_proj.weight,BF16,64x48,2,3072,6144,90328,96472,True,f0b80cd0d21aae72eb7507dc13cd8fbf6654272243bd9fba8a2b5ff3445217de
backbone.layers.1.mixer.experts.2.up_proj.weight,BF16,48x64,2,3072,6144,96472,102616,True,54b7d8267398711627ab6206e916568fabee7d9ad899152d979312f5cc69b6f5
backbone.layers.1.mixer.experts.3.down_proj.weight,BF16,64x48,2,3072,6144,102616,108760,True,a1f9fce9cf37507229b646506d582f42febcb754ac9dbdfe00fd30bcb6797cdd
backbone.layers.1.mixer.experts.3.up_proj.weight,BF16,48x64,2,3072,6144,108760,114904,True,6cd6be14107735cef84fb220a9e02122a409cd6e9a02357ad4506d9a71d6d319
backbone.layers.1.mixer.experts.4.down_proj.weight,BF16,64x48,2,3072,6144,114904,121048,True,66b1e60bcb23faee8bef85b4c8adb8bbc0bacc1a1f2c3622277a496c559106a0
backbone.layers.1.mixer.experts.4.up_proj.weight,BF16,48x64,2,3072,6144,121048,127192,True,828a94d19c9f63a059db2fdfa0a624e0ee29e2d2f82e9543a6216c20e0901744
backbone.layers.1.mixer.experts.5.down_proj.weight,BF16,64x48,2,3072,6144,127192,133336,True,ac0841bfd56f212dc96b1ba879e417d54073ede267a2eee124a7230ebca1b345
backbone.layers.1.mixer.experts.5.up_proj.weight,BF16,48x64,2,3072,6144,133336,139480,True,9775711cd1bc2a2dcc79e06441f2525d572a24bbba6e472d9d6fd7cc7df86a32
backbone.layers.1.mixer.experts.6.down_proj.weight,BF16,64x48,2,3072,6144,139480,145624,True,6eb815422c1af8fc4d214795262f7202b63cda45a6aca7efed86bc0def16b93c
backbone.layers.1.mixer.experts.6.up_proj.weight,BF16,48x64,2,3072,6144,145624,151768,True,6d185813d927f70fa909eb1ae8a98d6694a05e87a3b473238b6c442fdde5976f
backbone.layers.1.mixer.experts.7.down_proj.weight,BF16,64x48,2,3072,6144,151768,157912,True,d01c272216c65291f73a0b725a8bce57ad999cd036a4b3ea8d5f01cee983985f
backbone.layers.1.mixer.experts.7.up_proj.weight,BF16,48x64,2,3072,6144,157912,164056,True,c5cf869eb92f45482490d115ee2d887c25899c0148400b87a0843aec04e4b41e
backbone.layers.1.mixer.gate.weight,BF16,8x64,2,512,1024,164056,165080,True,31503b9cb95da7feec65f031d9f1d4237ac85e69e43888fcee56ff242cd172cd
backbone.layers.1.mixer.shared_experts.down_proj.weight,BF16,64x96,2,6144,12288,165080,177368,True,bd6c995c142298866ef29ded83e585f0ed5ed2834480f15a4135618b90c22e74
backbone.layers.1.mixer.shared_experts.up_proj.weight,BF16,96x64,2,6144,12288,177368,189656,True,898932f291ee509659b59ea9fa40adc52adf21712644a289650d48b13ed56d35
backbone.layers.1.norm.weight,BF16,64,1,64,128,189656,189784,True,af1d28aaa22e7034679a58a56c84371b203ad7bb177294c47c443a0ff1204387
